Id,TARGET_5Yrs
0,0.31781635
1,0.3172641
2,0.5977031
3,0.77023673
4,0.30563632
5,0.5288914
6,0.24052854
7,0.2820847
8,0.36748815
9,0.21497962
10,0.3704335
11,0.5303364
12,0.32360694
13,0.4381793
14,0.6600006
15,0.5624299
16,0.7225665
17,0.33886394
18,0.14246343
19,0.61930144
20,0.8332409
21,0.61869687
22,0.49287197
23,0.2452042
24,0.55444986
25,0.5939969
26,0.43977776
27,0.8301581
28,0.5532058
29,0.4192034
30,0.38577121
31,0.36124957
32,0.22456765
33,0.2372251
34,0.16177592
35,0.2001085
36,0.26631176
37,0.25277364
38,0.36364368
39,0.8037905
40,0.8660838
41,0.34670565
42,0.27842152
43,0.32239467
44,0.33312237
45,0.4331992
46,0.35105604
47,0.31825528
48,0.28731114
49,0.2643821
50,0.2494589
51,0.3236126
52,0.5434531
53,0.14399804
54,0.87230885
55,0.30075705
56,0.5134414
57,0.18853015
58,0.59336966
59,0.87015903
60,0.75016606
61,0.34576336
62,0.32395485
63,0.73870164
64,0.4275281
65,0.10708559
66,0.24435787
67,0.15300433
68,0.24255499
69,0.3763757
70,0.60078883
71,0.562178
72,0.35251844
73,0.27010268
74,0.4388019
75,0.3858247
76,0.29777378
77,0.33124912
78,0.36832893
79,0.6213674
80,0.6167808
81,0.4213113
82,0.3973933
83,0.27048582
84,0.28976342
85,0.098036416
86,0.28475282
87,0.26491436
88,0.21986678
89,0.3001666
90,0.556848
91,0.21761052
92,0.60859877
93,0.6237539
94,0.31665376
95,0.71080405
96,0.6141981
97,0.62340033
98,0.19118543
99,0.59131473
100,0.50320965
101,0.57284
102,0.7493123
103,0.37871122
104,0.48870298
105,0.57013065
106,0.570128
107,0.12989703
108,0.54490536
109,0.18188563
110,0.68972635
111,0.3382259
112,0.14320646
113,0.7036914
114,0.45913965
115,0.7873343
116,0.35933837
117,0.18998398
118,0.27120116
119,0.22601306
120,0.68387085
121,0.18763301
122,0.6574233
123,0.494533
124,0.35808012
125,0.7449868
126,0.3261233
127,0.5916652
128,0.5944741
129,0.25879836
130,0.41942164
131,0.5675207
132,0.3628835
133,0.3947703
134,0.34490517
135,0.48911157
136,0.6155841
137,0.74022114
138,0.4572626
139,0.24183679
140,0.68255275
141,0.71512353
142,0.2898968
143,0.2577347
144,0.2546678
145,0.4679788
146,0.18559805
147,0.1782588
148,0.6191073
149,0.22396095
150,0.53333807
151,0.422577
152,0.34278515
153,0.61318344
154,0.7120476
155,0.62624717
156,0.15965462
157,0.350151
158,0.7823867
159,0.18026167
160,0.29387903
161,0.68613666
162,0.24456614
163,0.26950675
164,0.38057983
165,0.7345348
166,0.78848225
167,0.28468272
168,0.6053582
169,0.64359224
170,0.18725593
171,0.27808583
172,0.56508553
173,0.4301344
174,0.59196943
175,0.64438075
176,0.27689677
177,0.34505928
178,0.363962
179,0.15553099
180,0.36424452
181,0.91583
182,0.58727103
183,0.16686942
184,0.5921174
185,0.16988344
186,0.07986325
187,0.55679494
188,0.6375627
189,0.27450398
190,0.25938505
191,0.25436452
192,0.25301528
193,0.392745
194,0.59286946
195,0.3021004
196,0.7848502
197,0.28315082
198,0.2847769
199,0.30184788
200,0.3031251
201,0.34228063
202,0.13365151
203,0.31255147
204,0.2554723
205,0.13003694
206,0.34096557
207,0.6273405
208,0.27338845
209,0.70780915
210,0.362233
211,0.73580575
212,0.6413
213,0.6779459
214,0.53374696
215,0.62035114
216,0.29930288
217,0.25863373
218,0.27732638
219,0.70176435
220,0.8297479
221,0.42110538
222,0.34263393
223,0.1939676
224,0.436389
225,0.26005885
226,0.45873812
227,0.5168898
228,0.23668572
229,0.3602745
230,0.54131705
231,0.3470292
232,0.33235177
233,0.5885557
234,0.3816975
235,0.84920985
236,0.443106
237,0.2083123
238,0.39451823
239,0.7276612
240,0.8434364
241,0.51360035
242,0.5031114
243,0.43085974
244,0.7015277
245,0.26632708
246,0.12336876
247,0.26511443
248,0.24991158
249,0.40390635
250,0.14029926
251,0.57835966
252,0.40961447
253,0.7302675
254,0.49770388
255,0.5746278
